region;peat_type;tree_type;year;basal_area
south;1;pine;1990;2.36552267266136
south;1;spruce;1990;7.33442867981808
south;1;deciduous;1990;7.69481294752473
south;2;pine;1990;4.42071212877803
south;2;spruce;1990;8.31788053547582
south;2;deciduous;1990;6.15634901524037
south;4;pine;1990;9.25675161381921
south;4;spruce;1990;1.24025544904017
south;4;deciduous;1990;3.04668072695932
south;6;pine;1990;7.49567904261912
south;6;spruce;1990;0.100731824242095
south;6;deciduous;1990;0.662006064314105
south;7;pine;1990;4.62201434744861
south;7;spruce;1990;0.0394818729526929
south;7;deciduous;1990;0.177311824410133
north;1;pine;1990;2.43128621053073
north;1;spruce;1990;2.17514160266794
north;1;deciduous;1990;8.39854658931887
north;2;pine;1990;3.53418725369903
north;2;spruce;1990;2.83980500972291
north;2;deciduous;1990;5.74580914613941
north;4;pine;1990;6.04441696731095
north;4;spruce;1990;0.606861644663304
north;4;deciduous;1990;2.10963633146899
north;6;pine;1990;5.15777574543392
north;6;spruce;1990;0.184766916344506
north;6;deciduous;1990;0.391676610968311
north;7;pine;1990;5.58062834030648
north;7;spruce;1990;0.371230402010518
north;7;deciduous;1990;0.246182077648754
south;1;pine;1991;2.3416533855847
south;1;spruce;1991;7.45313381824131
south;1;deciduous;1991;7.75739525176615
south;2;pine;1991;4.61116217742938
south;2;spruce;1991;8.18337367266983
south;2;deciduous;1991;6.15546437142676
south;4;pine;1991;9.44555834192162
south;4;spruce;1991;1.26686615099
south;4;deciduous;1991;3.11101163454948
south;6;pine;1991;7.71908073041104
south;6;spruce;1991;0.100181007280211
south;6;deciduous;1991;0.677749905864451
south;7;pine;1991;4.58838750974429
south;7;spruce;1991;0.0345466388336063
south;7;deciduous;1991;0.160537871594794
north;1;pine;1991;2.37842396147921
north;1;spruce;1991;2.29352954896294
north;1;deciduous;1991;8.54641139485665
north;2;pine;1991;3.70928854653579
north;2;spruce;1991;2.94995155153643
north;2;deciduous;1991;5.81973196504345
north;4;pine;1991;6.24964941074626
north;4;spruce;1991;0.636030659497685
north;4;deciduous;1991;2.1454871742328
north;6;pine;1991;5.27038359683741
north;6;spruce;1991;0.179153938926664
north;6;deciduous;1991;0.422457476784579
north;7;pine;1991;5.33567428141669
north;7;spruce;1991;0.340294535176312
north;7;deciduous;1991;0.225666904511357
south;1;pine;1992;2.31778409850804
south;1;spruce;1992;7.57183895666455
south;1;deciduous;1992;7.81997755600758
south;2;pine;1992;4.80161222608072
south;2;spruce;1992;8.04886680986385
south;2;deciduous;1992;6.15457972761314
south;4;pine;1992;9.63436507002402
south;4;spruce;1992;1.29347685293983
south;4;deciduous;1992;3.17534254213964
south;6;pine;1992;7.94248241820296
south;6;spruce;1992;0.0996301903183277
south;6;deciduous;1992;0.693493747414798
south;7;pine;1992;4.55476067203998
south;7;spruce;1992;0.0296114047145197
south;7;deciduous;1992;0.143763918779454
north;1;pine;1992;2.32556171242771
north;1;spruce;1992;2.41191749525791
north;1;deciduous;1992;8.69427620039437
north;2;pine;1992;3.88438983937255
north;2;spruce;1992;3.06009809334992
north;2;deciduous;1992;5.89365478394751
north;4;pine;1992;6.45488185418162
north;4;spruce;1992;0.665199674332058
north;4;deciduous;1992;2.18133801699661
north;6;pine;1992;5.38299144824086
north;6;spruce;1992;0.173540961508824
north;6;deciduous;1992;0.453238342600855
north;7;pine;1992;5.09072022252704
north;7;spruce;1992;0.309358668342109
north;7;deciduous;1992;0.205151731373968
south;1;pine;1993;2.29391481143139
south;1;spruce;1993;7.69054409508779
south;1;deciduous;1993;7.88255986024901
south;2;pine;1993;4.99206227473207
south;2;spruce;1993;7.91435994705787
south;2;deciduous;1993;6.15369508379953
south;4;pine;1993;9.82317179812643
south;4;spruce;1993;1.32008755488966
south;4;deciduous;1993;3.23967344972981
south;6;pine;1993;8.16588410599488
south;6;spruce;1993;0.0990793733564441
south;6;deciduous;1993;0.709237588965145
south;7;pine;1993;4.52113383433566
south;7;spruce;1993;0.0246761705954331
south;7;deciduous;1993;0.126989965964115
north;1;pine;1993;2.27269946337626
north;1;spruce;1993;2.53030544155272
north;1;deciduous;1993;8.84214100593196
north;2;pine;1993;4.05949113220906
north;2;spruce;1993;3.1702446351633
north;2;deciduous;1993;5.96757760285145
north;4;pine;1993;6.6601142976167
north;4;spruce;1993;0.6943686891664
north;4;deciduous;1993;2.21718885976036
north;6;pine;1993;5.49559929964418
north;6;spruce;1993;0.167927984090988
north;6;deciduous;1993;0.484019208417089
north;7;pine;1993;4.84576616363727
north;7;spruce;1993;0.278422801507898
north;7;deciduous;1993;0.184636558236571
south;1;pine;1994;2.27004552435473
south;1;spruce;1994;7.80924923351102
south;1;deciduous;1994;7.94514216449043
south;2;pine;1994;5.18251232338342
south;2;spruce;1994;7.77985308425188
south;2;deciduous;1994;6.15281043998592
south;4;pine;1994;10.0119785262288
south;4;spruce;1994;1.34669825683949
south;4;deciduous;1994;3.30400435731997
south;6;pine;1994;8.3892857937868
south;6;spruce;1994;0.0985285563945605
south;6;deciduous;1994;0.724981430515492
south;7;pine;1994;4.48750699663135
south;7;spruce;1994;0.0197409364763465
south;7;deciduous;1994;0.110216013148775
north;1;pine;1994;2.21983721432475
north;1;spruce;1994;2.64869338784772
north;1;deciduous;1994;8.99000581146975
north;2;pine;1994;4.23459242504584
north;2;spruce;1994;3.28039117697684
north;2;deciduous;1994;6.04150042175551
north;4;pine;1994;6.86534674105208
north;4;spruce;1994;0.72353770400078
north;4;deciduous;1994;2.25303970252417
north;6;pine;1994;5.60820715104766
north;6;spruce;1994;0.162315006673146
north;6;deciduous;1994;0.514800074233366
north;7;pine;1994;4.60081210474749
north;7;spruce;1994;0.247486934673687
north;7;deciduous;1994;0.164121385099175
south;1;pine;1995;2.24617623727808
south;1;spruce;1995;7.92795437193426
south;1;deciduous;1995;8.00772446873186
south;2;pine;1995;5.37296237203477
south;2;spruce;1995;7.6453462214459
south;2;deciduous;1995;6.15192579617231
south;4;pine;1995;10.2007852543312
south;4;spruce;1995;1.37330895878932
south;4;deciduous;1995;3.36833526491013
south;6;pine;1995;8.61268748157871
south;6;spruce;1995;0.0979777394326769
south;6;deciduous;1995;0.740725272065838
south;7;pine;1995;4.45388015892703
south;7;spruce;1995;0.0148057023572598
south;7;deciduous;1995;0.0934420603334357
north;1;pine;1995;2.16697496527324
north;1;spruce;1995;2.76708133414272
north;1;deciduous;1995;9.13787061700753
north;2;pine;1995;4.40969371788262
north;2;spruce;1995;3.39053771879037
north;2;deciduous;1995;6.11542324065957
north;4;pine;1995;7.07057918448746
north;4;spruce;1995;0.75270671883516
north;4;deciduous;1995;2.28889054528798
north;6;pine;1995;5.72081500245114
north;6;spruce;1995;0.156702029255303
north;6;deciduous;1995;0.545580940049643
north;7;pine;1995;4.35585804585772
north;7;spruce;1995;0.216551067839476
north;7;deciduous;1995;0.143606211961778
south;1;pine;1996;2.22230695020142
south;1;spruce;1996;8.04665951035749
south;1;deciduous;1996;8.07030677297328
south;2;pine;1996;5.56341242068611
south;2;spruce;1996;7.51083935863992
south;2;deciduous;1996;6.15104115235869
south;4;pine;1996;10.3895919824336
south;4;spruce;1996;1.39991966073915
south;4;deciduous;1996;3.43266617250029
south;6;pine;1996;8.83608916937063
south;6;spruce;1996;0.0974269224707933
south;6;deciduous;1996;0.756469113616185
south;7;pine;1996;4.42025332122272
south;7;spruce;1996;0.00987046823817322
south;7;deciduous;1996;0.0766681075180961
north;1;pine;1996;2.11411271622172
north;1;spruce;1996;2.88546928043772
north;1;deciduous;1996;9.28573542254531
north;2;pine;1996;4.58479501071939
north;2;spruce;1996;3.5006842606039
north;2;deciduous;1996;6.18934605956363
north;4;pine;1996;7.27581162792284
north;4;spruce;1996;0.781875733669541
north;4;deciduous;1996;2.32474138805179
north;6;pine;1996;5.83342285385463
north;6;spruce;1996;0.15108905183746
north;6;deciduous;1996;0.57636180586592
north;7;pine;1996;4.11090398696794
north;7;spruce;1996;0.185615201005265
north;7;deciduous;1996;0.123091038824381
south;1;pine;1997;2.19843766312477
south;1;spruce;1997;8.16536464878073
south;1;deciduous;1997;8.13288907721471
south;2;pine;1997;5.75386246933746
south;2;spruce;1997;7.37633249583393
south;2;deciduous;1997;6.15015650854508
south;4;pine;1997;10.578398710536
south;4;spruce;1997;1.42653036268898
south;4;deciduous;1997;3.49699708009046
south;6;pine;1997;9.05949085716255
south;6;spruce;1997;0.0968761055089098
south;6;deciduous;1997;0.772212955166532
south;7;pine;1997;4.3866264835184
south;7;spruce;1997;0.00493523411908662
south;7;deciduous;1997;0.0598941547027567
north;1;pine;1997;2.06125046717021
north;1;spruce;1997;3.00385722673272
north;1;deciduous;1997;9.4336002280831
north;2;pine;1997;4.75989630355617
north;2;spruce;1997;3.61083080241743
north;2;deciduous;1997;6.26326887846769
north;4;pine;1997;7.48104407135823
north;4;spruce;1997;0.811044748503921
north;4;deciduous;1997;2.3605922308156
north;6;pine;1997;5.94603070525811
north;6;spruce;1997;0.145476074419618
north;6;deciduous;1997;0.607142671682197
north;7;pine;1997;3.86594992807817
north;7;spruce;1997;0.154679334171054
north;7;deciduous;1997;0.102575865686984
south;1;pine;1998;2.17456837604811
south;1;spruce;1998;8.28406978720397
south;1;deciduous;1998;8.19547138145613
south;2;pine;1998;5.94431251798881
south;2;spruce;1998;7.24182563302795
south;2;deciduous;1998;6.14927186473147
south;4;pine;1998;10.7672054386384
south;4;spruce;1998;1.45314106463881
